                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.60712,                0.93269,                 1.0636,                0.76814,                0.73068,                0.79486,                0.69344,                0.51967,                0.86658,                  1.042,              0.0036145,              0.0036145,              0.0036145
                    131,                0.60381,                0.91047,                  1.062,                0.78585,                0.71681,                0.79491,                0.69334,                0.51876,                0.86664,                  1.041,               0.003565,               0.003565,               0.003565
                    132,                0.61122,                0.93624,                 1.0675,                0.78625,                 0.7159,                0.79476,                0.69361,                0.51874,                0.86415,                 1.0407,              0.0035155,              0.0035155,              0.0035155
                    133,                0.60183,                0.91218,                 1.0644,                0.76737,                0.73026,                0.79512,                0.69393,                0.51876,                0.86278,                 1.0406,               0.003466,               0.003466,               0.003466
                    134,                0.61036,                0.91631,                 1.0702,                0.76391,                0.73669,                0.79527,                0.69438,                0.51903,                0.86296,                 1.0408,              0.0034165,              0.0034165,              0.0034165
                    135,                0.60181,                 0.9131,                  1.064,                0.75838,                0.74119,                0.79564,                0.69418,                0.51847,                 0.8631,                 1.0406,               0.003367,               0.003367,               0.003367
                    136,                0.60169,                0.90325,                 1.0648,                0.76406,                0.73807,                0.79597,                0.69505,                0.51811,                0.86305,                 1.0411,              0.0033175,              0.0033175,              0.0033175
                    137,                0.60504,                0.91318,                 1.0661,                0.77534,                0.72718,                0.79574,                0.69488,                0.51751,                 0.8636,                 1.0408,               0.003268,               0.003268,               0.003268
                    138,                 0.5983,                0.90036,                 1.0638,                0.78255,                0.72207,                0.79522,                0.69483,                0.51724,                0.86508,                 1.0404,              0.0032185,              0.0032185,              0.0032185
                    139,                0.59751,                0.90239,                 1.0621,                0.76964,                0.73402,                0.79582,                 0.6946,                0.51758,                0.86598,                 1.0405,               0.003169,               0.003169,               0.003169
                    140,                 0.5945,                0.89973,                 1.0654,                 0.7736,                0.72857,                 0.7959,                 0.6949,                0.51782,                0.86557,                 1.0405,              0.0031195,              0.0031195,              0.0031195
                    141,                0.59719,                0.89422,                 1.0645,                0.77156,                0.73247,                0.79643,                0.69476,                0.51808,                0.86379,                 1.0407,                0.00307,                0.00307,                0.00307
                    142,                0.59334,                0.87815,                 1.0601,                0.76793,                0.73718,                0.79641,                0.69506,                0.51834,                0.86364,                  1.041,              0.0030205,              0.0030205,              0.0030205
                    143,                0.59294,                0.88136,                 1.0602,                0.78218,                0.72577,                0.79643,                 0.6955,                0.51851,                0.86371,                 1.0412,               0.002971,               0.002971,               0.002971
                    144,                0.59269,                0.86738,                 1.0583,                0.77916,                0.72607,                0.79664,                0.69556,                0.51878,                0.86312,                 1.0414,              0.0029215,              0.0029215,              0.0029215
                    145,                0.59736,                0.87605,                 1.0617,                0.79074,                  0.718,                0.79712,                0.69556,                0.51894,                 0.8633,                 1.0415,               0.002872,               0.002872,               0.002872
                    146,                0.59215,                 0.8744,                 1.0615,                0.78225,                 0.7247,                0.79724,                 0.6955,                0.51879,                0.86368,                 1.0414,              0.0028225,              0.0028225,              0.0028225
                    147,                0.58404,                0.85937,                 1.0547,                0.78399,                0.72214,                0.79674,                0.69553,                0.51879,                0.86445,                 1.0413,               0.002773,               0.002773,               0.002773
                    148,                0.58461,                0.84956,                 1.0545,                0.78518,                0.72271,                0.79679,                0.69541,                0.51898,                0.86413,                 1.0415,              0.0027235,              0.0027235,              0.0027235
                    149,                0.58898,                0.85841,                 1.0548,                0.77729,                0.73133,                0.79685,                0.69544,                0.51875,                0.86324,                 1.0413,               0.002674,               0.002674,               0.002674
                    150,                0.58062,                 0.8489,                 1.0559,                0.77212,                0.73639,                0.79728,                0.69593,                0.51884,                0.86287,                 1.0413,              0.0026245,              0.0026245,              0.0026245
                    151,                0.58535,                0.84682,                 1.0559,                0.77244,                0.73632,                0.79746,                0.69597,                0.51899,                0.86199,                 1.0414,               0.002575,               0.002575,               0.002575
